product_name,product_category_tree,retail_price,discounted_price,product_rating,overall_rating,brand,is_FK_Advantage_product,Stock_Level,Quantity,Rarity,Rarity_Encoded,Category_Encoded,Brand_Encoded
Ladela Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",1724.0,950.0,5.0,5.0,Ladela,0,107,27,Low,0,239,177
Roadster Men's Zipper Solid Cardigan,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Cardigans >> Roadster Cardigans >> Roadster Men's Zipper Solid Cardigan""]",1399.0,699.0,3.6,3.6,Roadster,0,184,73,High,2,66,279
Roadster Skinny Fit Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Roadster Jeans""]",2499.0,1249.0,3.0,3.0,Skinny Fit,1,97,26,High,2,45,302
Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oil & Diffuser Sets >> Pure Source Aroma Oil & Diffuser Sets""]",1250.0,375.0,5.0,5.0,Pure Source,0,19,47,Low,0,253,257
Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,"[""Jewellery >> Rings""]",3530.0,1570.0,4.0,4.0,Clara,0,111,86,High,2,294,63
Nishtaa Yellow Gold 22 K Ring,"[""Jewellery >> Rings""]",7810.0,7420.0,5.0,5.0,Nishtaa,0,76,56,Low,0,294,226
"Imported Banknote Tester, ball pen Permanent Alcohol Dye Base Marker","[""Pens & Stationery >> Office Supplies >> Sketch & Paint Markers >> Highlighter Pens >> Imported Highlighter Pens >> Imported Banknote Tester, ball pen Permanent Alc...""]",800.0,280.0,5.0,5.0,Imported,0,193,94,High,2,365,146
Autofurnish Car Cover For Santro Xing,"[""Automotive >> Accessories & Spare parts >> Car & Bike Care >> Car & Bike Covers >> Car Body Covers >> Autofurnish Car Cover For Santro Xing""]",1530.0,437.0,2.4,2.4,Autofurnish,0,25,63,Low,0,1,24
INDIANO Loafers,"[""Footwear >> Women's Footwear >> Casual Shoes >> Loafers >> INDIANO Loafers""]",1199.0,649.0,5.0,5.0,INDIANO,0,107,48,Medium,1,240,143
Rainfun Car Cover For 800,"[""Automotive >> Accessories & Spare parts >> Car & Bike Care >> Car & Bike Covers >> Car Body Covers >> Rainfun Car Cover For 800 (Without Mirror Pockets)""]",1799.0,599.0,3.3,3.3,Rainfun,0,126,61,High,2,2,265
Adidas Solid Men's Track Top,"[""Clothing >> Men's Clothing >> Sports Wear >> Track Tops >> Adidas Track Tops >> Adidas Solid Men's Track Top""]",2999.0,1949.0,1.0,1.0,Adidas,1,79,81,High,2,62,6
Prime Printed 6 Seater Table Cover,"[""Home Furnishing >> Kitchen & Dining Linen >> Table Covers >> Prime Printed 6 Seater Table Cover (Multicolor, ...""]",1800.0,849.0,5.0,5.0,Prime,0,92,26,High,2,280,252
Prime Printed 8 Seater Table Cover,"[""Home Furnishing >> Kitchen & Dining Linen >> Table Covers >> Prime Printed 8 Seater Table Cover (Multicolor, ...""]",2000.0,899.0,5.0,5.0,Prime,0,121,36,High,2,281,252
Speedo Men's Swimsuit,"[""Clothing >> Men's Clothing >> Sports Wear >> Swimsuit & Swimwear >> Speedo Swimsuit & Swimwear >> Speedo Men's Swimsuit""]",699.0,699.0,4.0,4.0,Speedo,1,104,1,Medium,1,61,314
Spangel Fashion Audi Style Alloy Mangalsutra,"[""Jewellery >> Mangalsutras & Tanmaniyas >> Spangel Fashion Audi Style Alloy Mangalsutra""]",1599.0,549.0,5.0,5.0,Spangel Fashion,0,108,8,High,2,290,312
Mee Mee Women's Maternity Panty,"[""Clothing >> Women's Clothing >> Maternity Wear >> Lingerie & Sleepwear >> Panties >> Mee Mee Panties >> Mee Mee Women's Maternity Panty (Pack of 2)""]",358.0,358.0,1.0,1.0,Mee Mee,0,156,99,Medium,1,111,203
knp enterprise Audi Style Alloy Mangalsutra,"[""Jewellery >> Mangalsutras & Tanmaniyas >> knp enterprise Audi Style Alloy Mangalsutra""]",1599.0,549.0,5.0,5.0,knp enterprise,0,135,52,Medium,1,291,393
SR Crafts Showpiece  -  15.24 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpieces >> Human Figurines >> SR Crafts Human Figurines""]",1850.0,1399.0,5.0,5.0,SR Crafts,0,154,79,Medium,1,269,289
Transcend MP 870 8 GB MP4 Player,"[""Computers >> Audio Players >> MP4 / Video MP3 Players >> Transcend MP4 / Video MP3 Players""]",4225.0,3450.0,3.8,3.8,Transcend,0,57,47,Medium,1,166,346
Shop Rajasthan Abstract Single Dohar Multicolor,"[""Home Furnishing >> Bed Linen >> Blankets, Quilts & Dohars""]",1099.0,549.0,1.0,1.0,Shop Rajasthan,0,6,56,Low,0,278,299
Perfect Women's Leggings,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Ethnic Bottoms >> Leggings & Churidars >> Leggings & Jeggings >> Perfect Leggings & Jeggings >> Perfect Women's Leggings (Pack of 2)""]",998.0,598.0,5.0,5.0,Perfect,0,92,86,Low,0,69,244
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",210.0,94.0,3.0,3.0,Black,0,162,14,High,2,104,40
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0,5.0,Blue,0,42,90,Low,0,79,44
Luxemburg Bandaeu Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",999.0,349.0,4.0,4.0,Purple,0,134,28,Low,0,88,258
Laceandme Super Comfort Bandeau Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Laceandme Bras""]",450.0,140.0,4.0,4.0,Black,0,196,87,High,2,85,40
Ladyland Mybra Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",899.0,369.0,5.0,5.0,Red,0,192,78,High,2,86,268
